Index,Composition,bandgap,spgN
314,Mg14 Fe1 Bi1,0.0,187
315,Mg14 Zr1 Nb1,0.0,187
316,K1 Mg14 Cu1,0.0,38
317,Mg14 Zr1 Si1,0.0,38
318,Ba1 Mg14 Zr1,0.0,38
319,Mg14 Ga1 Fe1,0.0,38
320,Mg14 Zn1 Fe1,0.0,38
321,K1 Y1 Mg14,0.0,38
322,Mg14 Mn1 Nb1,0.0,38
323,Mg14 Mn1 Cr1,0.0,38
324,Hf1 Mg14 Mn1,0.0,187
325,Mg14 Mn1 Si1,0.0,187
326,Ca1 Mg14 Nb1,0.0,187
327,Ca1 Mg14 Nb1,0.0,38
328,Mg14 Mn1 Fe1,0.0,187
329,K1 Ca1 Mg14,0.0,38
330,Na1 Mg14 V1,0.0,38
331,La1 Mg14 V1,0.0,38
332,Mg14 Cr1 Ni1,0.0,187
333,Mg14 Nb1 Ni1,0.0,187
334,Mg14 Nb1 Ni1,0.0,38
335,Mg14 V1 Ni1,0.0,38
336,Ce1 Mg14 V1,0.0,38
337,Na1 Mg6 Bi1 O8,1.0008,123
338,Na1 Mg6 W1 O8,1.2925000000000004,123
339,Ca1 Mg6 Ti1 O8,0.0,123
340,Mg6 Al1 Co1 O8,0.0,123
341,Mg6 Cr1 Cd1 O8,0.0,123
342,Mg6 Cr1 Cd1 O8,0.0,123
343,Sr1 Mg14 Ti1 O16,0.0,123
344,Sr1 Mg14 Ti1 O16,0.0,47
345,K1 Mg14 Ti1 O16,0.050400000000000666,47
346,Na1 Hf1 Mg14 O15,0.0,25
347,Mg14 Cd1 Sn1 O16,0.0,123
348,Mg14 Cr1 Sn1 O16,0.0,123
349,Na1 Mg14 B1 O16,3.8059000000000003,47
350,Na1 Mg14 Si1 O16,0.0,123
351,Mg14 Ti1 Ni1 O16,0.0,123
352,Mg14 Ni1 Sn1 O16,0.0,47
353,Mg14 Nb1 Co1 O16,0.0,123
354,Mg14 Nb1 Cu1 O16,0.0,47
355,Mg14 Nb1 Cu1 O16,0.0,123
356,K1 Mg14 Ga1 O16,1.4006999999999996,123
357,Ca1 Mg14 Nb1 O16,0.0,123
358,Ca1 Mg14 Nb1 O16,0.0,47
359,Ca1 Mg14 Sn1 O16,0.7521000000000004,123
360,Mg30 Cu1 C1 O32,0.1642999999999999,123
361,Mg30 Cu1 C1 O32,2.244999999999999,123
362,Mg30 Al1 C1 O32,0.9264999999999999,123
363,Mg12 Bi4,0.0,225
364,Mg8 Bi4,0.0,12
365,Ca4 Zn2,0.0,136
366,Ca4 Mg2,0.0,164
367,Ce6 Mg2,0.0,194
368,Rb1 Hf1 Mg30 O31,0.0,25
369,Na1 Mg30 C1 O32,0.5286999999999997,123
370,Hf1 Mg30 Si1 O32,0.1598000000000006,123
371,Hf1 Mg30 Si1 O32,0.02430000000000021,123
372,Rb1 Mg30 B1 O31,2.6766999999999994,25
373,Li1 Mg30 C1 O32,0.35609999999999964,123
374,K1 Mg30 B1 O31,2.268700000000001,25
375,K1 Rb1 Mg30 O31,2.3617000000000004,99
376,Mg30 Ti1 Bi1 O32,0.0,123
377,Mg30 Ti1 Bi1 O32,0.0,123
378,Ca2 Ni4 O8,0.5640999999999998,160
